experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_8,Joint MD,5.0,5.0,reg_m1,reg_m2,0.2573784803852164,"[0.49888924019260816, 0.5011107598073918]",0.7267982174752683,True
experiment_8,Joint MD,15.555555555555555,15.555555555555555,reg_m1,reg_m2,0.25033257695520317,"[0.49536628847760156, 0.5046337115223984]",0.691733780951744,True
experiment_8,Joint MD,5.0,15.555555555555555,reg_m1,reg_m2,0.29895139584138847,"[0.5196756979206942, 0.4803243020793058]",0.5307585075359982,True
experiment_8,Joint MD,15.555555555555555,5.0,reg_m1,reg_m2,0.2520703656164373,"[0.4962351828082186, 0.5037648171917813]",0.9358622220537182,True
experiment_8,Joint MD,15.555555555555555,26.11111111111111,reg_m1,reg_m2,0.2876008035782796,"[0.5140004017891397, 0.4859995982108602]",0.5310332983192219,True
experiment_8,Joint MD,5.0,26.11111111111111,reg_m1,reg_m2,0.3036035550475759,"[0.522001777523788, 0.4779982224762121]",0.5318989321962561,True
experiment_8,Joint MD,5.0,36.666666666666664,reg_m1,reg_m2,0.30647641717870305,"[0.5234382085893515, 0.4765617914106485]",0.5316776511175344,True
experiment_8,Joint MD,15.555555555555555,36.666666666666664,reg_m1,reg_m2,0.29030048543766707,"[0.5153502427188335, 0.48464975728116644]",0.5331865796251398,True
experiment_8,Joint MD,5.0,47.22222222222222,reg_m1,reg_m2,0.3107414080017204,"[0.5255707040008601, 0.4744292959991398]",0.5313301686507352,True
experiment_8,Joint MD,5.0,57.77777777777778,reg_m1,reg_m2,0.3148980573230941,"[0.5276490286615471, 0.472350971338453]",0.5308433352305358,True
experiment_8,Joint MD,5.0,100.0,reg_m1,reg_m2,0.3145430603089479,"[0.5274715301544739, 0.47252846984552604]",0.5308778565903971,True
experiment_8,Joint MD,5.0,68.33333333333333,reg_m1,reg_m2,0.31508189650147206,"[0.527740948250736, 0.472259051749264]",0.5307988186981814,True
experiment_8,Joint MD,5.0,89.44444444444444,reg_m1,reg_m2,0.315528342716129,"[0.5279641713580645, 0.47203582864193555]",0.5308177685437867,True
experiment_8,Joint MD,5.0,78.88888888888889,reg_m1,reg_m2,0.314119148533359,"[0.5272595742666795, 0.47274042573332054]",0.5308938023049727,True
experiment_8,Joint MD,15.555555555555555,47.22222222222222,reg_m1,reg_m2,0.294983649423734,"[0.5176918247118669, 0.48230817528813297]",0.5329176431793134,True
experiment_8,Joint MD,26.11111111111111,26.11111111111111,reg_m1,reg_m2,0.2553075933029138,"[0.49785379665145685, 0.5021462033485431]",0.6815141826247213,True
experiment_8,Joint MD,15.555555555555555,57.77777777777778,reg_m1,reg_m2,0.3003735030947104,"[0.5203867515473551, 0.4796132484526448]",0.5324331933410302,True
experiment_8,Joint MD,26.11111111111111,36.666666666666664,reg_m1,reg_m2,0.28598789375403916,"[0.5131939468770196, 0.4868060531229805]",0.5301848596239837,True
experiment_8,Joint MD,15.555555555555555,68.33333333333333,reg_m1,reg_m2,0.30761042177790143,"[0.5240052108889507, 0.4759947891110493]",0.5316256612615066,True
experiment_8,Joint MD,26.11111111111111,15.555555555555555,reg_m1,reg_m2,0.2499766128872138,"[0.49518830644360684, 0.5048116935563931]",0.9342968279218203,True
experiment_8,Joint MD,26.11111111111111,5.0,reg_m1,reg_m2,0.2546940966490105,"[0.4975470483245052, 0.5024529516754948]",0.9370523187901147,True
experiment_8,Joint MD,26.11111111111111,47.22222222222222,reg_m1,reg_m2,0.28596591608928623,"[0.5131829580446431, 0.4868170419553569]",0.5328115498174651,True
experiment_8,Joint MD,15.555555555555555,78.88888888888889,reg_m1,reg_m2,0.312279204463145,"[0.5263396022315725, 0.47366039776842755]",0.531019801287845,True
experiment_8,Joint MD,15.555555555555555,89.44444444444444,reg_m1,reg_m2,0.3159131049190121,"[0.528156552459506, 0.47184344754049395]",0.5307061064068629,True
experiment_8,Joint MD,26.11111111111111,57.77777777777778,reg_m1,reg_m2,0.29062281459511485,"[0.5155114072975574, 0.4844885927024426]",0.5332069325048957,True
experiment_8,Joint MD,15.555555555555555,100.0,reg_m1,reg_m2,0.3181220221668261,"[0.5292610110834131, 0.470738988916587]",0.5304569654483106,True
experiment_8,Joint MD,26.11111111111111,78.88888888888889,reg_m1,reg_m2,0.30396299329189724,"[0.5221814966459486, 0.4778185033540514]",0.5319355321709625,True
experiment_8,Joint MD,26.11111111111111,68.33333333333333,reg_m1,reg_m2,0.2966188418448228,"[0.5185094209224114, 0.48149057907758863]",0.5328229192159125,True
experiment_8,Joint MD,36.666666666666664,36.666666666666664,reg_m1,reg_m2,0.2616291031014849,"[0.5010145515507425, 0.49898544844925763]",0.6701337892228255,True
experiment_8,Joint MD,36.666666666666664,15.555555555555555,reg_m1,reg_m2,0.2562450286016334,"[0.4983225143008167, 0.5016774856991834]",0.9365544896343173,True
experiment_8,Joint MD,36.666666666666664,26.11111111111111,reg_m1,reg_m2,0.24831797573706976,"[0.4943589878685349, 0.5056410121314652]",0.9303248299826815,True
experiment_8,Joint MD,36.666666666666664,5.0,reg_m1,reg_m2,0.25803349941799314,"[0.49921674970899654, 0.5007832502910035]",0.9372713716208206,True
experiment_8,Joint MD,36.666666666666664,47.22222222222222,reg_m1,reg_m2,0.2827144758942467,"[0.5115572379471234, 0.48844276205287673]",0.5296333468445701,True
experiment_8,Joint MD,26.11111111111111,89.44444444444444,reg_m1,reg_m2,0.30440312143570275,"[0.5224015607178514, 0.4775984392821487]",0.5319789134035183,True
experiment_8,Joint MD,26.11111111111111,100.0,reg_m1,reg_m2,0.31029509555316986,"[0.5253475477765849, 0.47465245222341507]",0.5313428432578264,True
experiment_8,Joint MD,36.666666666666664,57.77777777777778,reg_m1,reg_m2,0.2832627357374429,"[0.5118313678687214, 0.4881686321312786]",0.5332223709874923,True
experiment_8,Joint MD,36.666666666666664,68.33333333333333,reg_m1,reg_m2,0.28712711569547633,"[0.5137635578477382, 0.4862364421522619]",0.5336815259399196,True
experiment_8,Joint MD,47.22222222222222,47.22222222222222,reg_m1,reg_m2,0.27042652993294536,"[0.5054132649664727, 0.49458673503352735]",0.6784441958804036,True
experiment_8,Joint MD,36.666666666666664,78.88888888888889,reg_m1,reg_m2,0.2930186477609956,"[0.5167093238804977, 0.48329067611950216]",0.5330358771127148,True
experiment_8,Joint MD,47.22222222222222,36.666666666666664,reg_m1,reg_m2,0.25026638011733887,"[0.49533319005866944, 0.5046668099413306]",0.9284303607197348,True
experiment_8,Joint MD,47.22222222222222,57.77777777777778,reg_m1,reg_m2,0.2826222526993152,"[0.5115111263496576, 0.48848887365034244]",0.5295103733262977,True
experiment_8,Joint MD,47.22222222222222,26.11111111111111,reg_m1,reg_m2,0.2649189509084414,"[0.5026594754542206, 0.49734052454577926]",0.9366170325551948,True
experiment_8,Joint MD,36.666666666666664,100.0,reg_m1,reg_m2,0.30150882117796796,"[0.520954410588984, 0.47904558941101605]",0.5320118402231783,True
experiment_8,Joint MD,47.22222222222222,15.555555555555555,reg_m1,reg_m2,0.26415310471227915,"[0.5022765523561395, 0.49772344764386045]",0.9367526838255851,True
experiment_8,Joint MD,36.666666666666664,89.44444444444444,reg_m1,reg_m2,0.2982809200218912,"[0.5193404600109456, 0.4806595399890544]",0.532698397563927,True
experiment_8,Joint MD,47.22222222222222,5.0,reg_m1,reg_m2,0.2599416880306802,"[0.5001708440153401, 0.49982915598465993]",0.9374804351653301,True
experiment_8,Joint MD,47.22222222222222,68.33333333333333,reg_m1,reg_m2,0.28035561351992333,"[0.5103778067599617, 0.4896221932400384]",0.5330890970974196,True
experiment_8,Joint MD,47.22222222222222,78.88888888888889,reg_m1,reg_m2,0.28458658231107425,"[0.5124932911555371, 0.4875067088444629]",0.5341459655028393,True
