experiment,method,l1_error,n_components,best_param1,best_param2
experiment_1,Joint MD,0.169319460886739,2,100.0,89.44444444444444
experiment_1,Simple WS,0.1805006001640219,2,0.05,
experiment_2,Joint MD,0.04936182679225,2,5.0,5.0
experiment_2,Simple WS,0.1132636346584917,2,0.05,
experiment_6,Joint MD,0.0738597808921887,2,89.44444444444444,78.88888888888889
experiment_6,Simple WS,0.035545230903018,2,0.05,
experiment_7,Joint MD,0.2921119361226626,2,89.44444444444444,89.44444444444444
experiment_7,Simple WS,0.3099889565368897,2,0.05,
experiment_8,Joint MD,0.2483179757370697,2,36.66666666666666,26.11111111111111
experiment_8,Simple WS,0.2609421201402334,2,0.05,
experiment_3,Joint MD,0.8250291465594763,4,89.44444444444444,47.22222222222222
experiment_3,Simple WS,0.2627877606230203,4,0.05,
experiment_5,Joint MD,0.1883666769219518,5,5.0,36.66666666666666
experiment_5,Simple WS,0.967435783173575,5,0.05,
experiment_4,Joint MD,0.219850496978698,5,5.0,89.44444444444444
experiment_4,Simple WS,0.812322924427082,5,0.05,
experiment_9,Joint MD,0.3019122328991695,5,5.0,5.0
experiment_9,Simple WS,0.8194267205539785,5,0.05,
experiment_10,Joint MD,0.2736349109505352,3,100.0,47.22222222222222
experiment_10,Simple WS,0.4916097018374145,3,0.05,
experiment_11,Joint MD,0.2599625003063073,3,47.22222222222222,47.22222222222222
experiment_11,Simple WS,0.5123406777805278,3,0.05,
