experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_2,Joint MD,1.0,1.0,reg_m1,reg_m2,0.013950347120351259,"[0.4980248264398244, 0.5019751735601756]",0.062101615526735224,True
experiment_2,Joint MD,1.0,2.0,reg_m1,reg_m2,0.02148394120160657,"[0.4942580293991967, 0.5057419706008033]",0.05858917290835453,True
experiment_2,Joint MD,2.0,1.0,reg_m1,reg_m2,0.014273591045403433,"[0.4978632044772983, 0.5021367955227017]",0.05945396025799542,True
experiment_2,Joint MD,2.0,2.0,reg_m1,reg_m2,0.02063873351190143,"[0.49468063324404926, 0.5053193667559507]",0.05765043681503927,True
experiment_2,Joint MD,1.0,3.0,reg_m1,reg_m2,0.030604476459534846,"[0.48969776177023255, 0.5103022382297674]",0.057123483916663165,True
experiment_2,Joint MD,1.0,4.0,reg_m1,reg_m2,0.037456374302879014,"[0.4862718128485605, 0.5137281871514395]",0.05607178792186142,True
experiment_2,Joint MD,1.0,5.0,reg_m1,reg_m2,0.04264598973447098,"[0.48367700513276457, 0.5163229948672355]",0.05310961411112633,True
experiment_2,Joint MD,1.0,6.0,reg_m1,reg_m2,0.04744983475506559,"[0.4812750826224672, 0.5187249173775328]",0.049093627271793436,True
experiment_2,Joint MD,1.0,9.0,reg_m1,reg_m2,0.05110339961988464,"[0.4794483001900577, 0.5205516998099423]",0.040727552476641865,True
experiment_2,Joint MD,1.0,7.0,reg_m1,reg_m2,0.04976894648569807,"[0.48011552675715097, 0.519884473242849]",0.04500106641237195,True
experiment_2,Joint MD,2.0,3.0,reg_m1,reg_m2,0.02832384523705439,"[0.49083807738147284, 0.5091619226185272]",0.057258216060374595,True
experiment_2,Joint MD,1.0,8.0,reg_m1,reg_m2,0.05042037901952545,"[0.4797898104902373, 0.5202101895097627]",0.04214356975263715,True
experiment_2,Joint MD,1.0,10.0,reg_m1,reg_m2,0.05171896701906831,"[0.47914051649046585, 0.5208594835095341]",0.04043952181454462,True
experiment_2,Joint MD,2.0,4.0,reg_m1,reg_m2,0.036488526611378524,"[0.48675573669431077, 0.5132442633056893]",0.05703648106361493,True
experiment_2,Joint MD,2.0,5.0,reg_m1,reg_m2,0.04322014413827252,"[0.4833899279308637, 0.5166100720691362]",0.056032927254875575,True
experiment_2,Joint MD,2.0,6.0,reg_m1,reg_m2,0.048123433194445175,"[0.4809382834027774, 0.5190617165972226]",0.05306383852525482,True
experiment_2,Joint MD,2.0,7.0,reg_m1,reg_m2,0.052862032535953896,"[0.47856898373202306, 0.5214310162679769]",0.04903072249134459,True
experiment_2,Joint MD,3.0,3.0,reg_m1,reg_m2,0.02663903683214036,"[0.4916804815839298, 0.5083195184160701]",0.057578672757025946,True
experiment_2,Joint MD,3.0,4.0,reg_m1,reg_m2,0.03405167002395226,"[0.48797416498802393, 0.5120258350119762]",0.057235731538055196,True
