experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_1,Joint MD,5.0,5.0,reg_m1,reg_m2,0.18840513452295177,"[0.18508714132620002, 0.8149128586737999]",0.4461336679851368,True
experiment_1,Joint MD,79.25,79.25,reg_m1,reg_m2,0.14650589838563735,"[0.16413752325754286, 0.8358624767424572]",0.46664660684157505,True
experiment_1,Joint MD,153.5,153.5,reg_m1,reg_m2,0.13296419913682714,"[0.15736667363313775, 0.8426333263668623]",0.45776610270541923,True
experiment_1,Joint MD,153.5,227.75,reg_m1,reg_m2,0.2114758923236823,"[0.1966225202265653, 0.8033774797734347]",0.4193338797672628,True
experiment_1,Joint MD,79.25,302.0,reg_m1,reg_m2,0.22820892541816812,"[0.20498903677380825, 0.7950109632261918]",0.4252061526231086,True
experiment_1,Joint MD,79.25,153.5,reg_m1,reg_m2,0.23533839714570076,"[0.20855377263757452, 0.7914462273624254]",0.42500523549075514,True
experiment_1,Joint MD,153.5,79.25,reg_m1,reg_m2,0.19614186316117616,"[0.18895550564531222, 0.8110444943546877]",0.5851037909381133,True
experiment_1,Joint MD,79.25,227.75,reg_m1,reg_m2,0.2365538476417909,"[0.20916149788561958, 0.7908385021143803]",0.4252771166296043,True
experiment_1,Joint MD,5.0,79.25,reg_m1,reg_m2,0.6304050145092002,"[0.4060870813193243, 0.5939129186806759]",0.46166761490551056,True
experiment_1,Joint MD,227.75,227.75,reg_m1,reg_m2,0.14744861564033634,"[0.16460888188489237, 0.8353911181151077]",0.4643658499035082,True
experiment_1,Joint MD,79.25,5.0,reg_m1,reg_m2,0.18675707694775776,"[0.18426311253860303, 0.8157368874613969]",0.584322802565278,True
experiment_1,Joint MD,153.5,5.0,reg_m1,reg_m2,0.1864804913063907,"[0.18412481971791952, 0.8158751802820805]",0.5848883417205722,True
experiment_1,Joint MD,5.0,153.5,reg_m1,reg_m2,0.6648187121937481,"[0.4232939301615982, 0.5767060698384018]",0.46475457907093926,True
experiment_1,Joint MD,5.0,227.75,reg_m1,reg_m2,0.6401067387304641,"[0.41093794342995615, 0.5890620565700437]",0.462491886096191,True
experiment_1,Joint MD,227.75,153.5,reg_m1,reg_m2,0.19288158853077,"[0.18732536833010918, 0.8126746316698908]",0.5805808908125829,True
experiment_1,Joint MD,227.75,302.0,reg_m1,reg_m2,0.2050881948234178,"[0.19342867147643308, 0.8065713285235669]",0.4212939889287141,True
experiment_1,Joint MD,302.0,302.0,reg_m1,reg_m2,0.14764234446749214,"[0.16470574629847023, 0.8352942537015298]",0.4662006842649655,True
experiment_1,Joint MD,5.0,302.0,reg_m1,reg_m2,0.5560907309988177,"[0.368929939564133, 0.631070060435867]",0.4547789798592974,True
experiment_1,Joint MD,153.5,302.0,reg_m1,reg_m2,0.23098876731401027,"[0.2063789577217293, 0.7936210422782707]",0.42465339301608984,True
experiment_1,Joint MD,227.75,79.25,reg_m1,reg_m2,0.198399349070294,"[0.19008424859987116, 0.8099157514001288]",0.585238177424877,True
experiment_1,Joint MD,302.0,227.75,reg_m1,reg_m2,0.18849193293294697,"[0.1851305405311976, 0.8148694594688023]",0.5823506739939577,True
experiment_1,Joint MD,302.0,79.25,reg_m1,reg_m2,0.19591537561747835,"[0.18884226187346337, 0.8111577381265367]",0.5850939609899691,True
experiment_1,Joint MD,302.0,153.5,reg_m1,reg_m2,0.19791070260744717,"[0.18983992536844776, 0.8101600746315523]",0.5852250030436771,True
experiment_1,Joint MD,227.75,5.0,reg_m1,reg_m2,0.18491182988634405,"[0.18334048900789615, 0.8166595109921038]",0.5855077227016118,True
experiment_1,Joint MD,302.0,5.0,reg_m1,reg_m2,0.18302020504115776,"[0.18239467658530303, 0.8176053234146969]",0.5858970317916394,True
experiment_1,Simple WS,0.05,,learning_rate,,0.1753516882681312,"[0.0032087299306585875, 0.9967912700693414]",0.5407793027775137,True
