experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_3,Joint MD,5.0,5.0,reg_m1,reg_m2,1.1826070251569725,"[0.17935559179209992, 0.061584763340241586, 0.1464422791574361, 0.6126173657102224]",0.4597599225666577,True
experiment_3,Joint MD,42.5,42.5,reg_m1,reg_m2,1.2297443247052573,"[0.16979599684235863, 0.047575708515840406, 0.14642062547291979, 0.6362076691688812]",0.45473045689822256,True
experiment_3,Joint MD,42.5,80.0,reg_m1,reg_m2,1.2235800574219617,"[0.16824019248653863, 0.05221364651330821, 0.14563030541736208, 0.6339158555827911]",0.5592708522295138,True
experiment_3,Joint MD,5.0,42.5,reg_m1,reg_m2,1.15545452618254,"[0.1735015800553674, 0.0810150245641904, 0.1556235162146659, 0.5898598791657763]",0.5899458984744385,True
experiment_3,Joint MD,42.5,5.0,reg_m1,reg_m2,1.238766131787025,"[0.1681855728882581, 0.044675228929057176, 0.1446481925707752, 0.6424910056119095]",0.4212039018564896,True
experiment_3,Joint MD,42.5,117.5,reg_m1,reg_m2,1.2162697876467587,"[0.1719249850286613, 0.0521839888587871, 0.14470778462930498, 0.6311832414832466]",0.5587217654366154,True
experiment_3,Joint MD,5.0,80.0,reg_m1,reg_m2,1.1446145371038008,"[0.17555162884123693, 0.08438497031769042, 0.15144510087080348, 0.5886182999702692]",0.5946445669896353,True
experiment_3,Joint MD,5.0,117.5,reg_m1,reg_m2,1.110786201980149,"[0.17963520625823956, 0.09721556046251373, 0.16909522153218565, 0.5540540117470611]",0.6036847954018434,True
experiment_3,Joint MD,42.5,155.0,reg_m1,reg_m2,1.2089961546161394,"[0.17453814711343396, 0.053207643289324105, 0.14495607828910145, 0.6272981313081404]",0.5591091599484933,True
experiment_3,Joint MD,5.0,192.5,reg_m1,reg_m2,1.0082906124570963,"[0.2223125282158243, 0.1318943963220613, 0.18319211376864475, 0.4626009616934697]",0.6285075789017726,True
experiment_3,Joint MD,5.0,230.0,reg_m1,reg_m2,1.0197822820735127,"[0.21656669340761617, 0.1679551492119698, 0.19044742403878648, 0.4250307333416275]",0.6716700249913637,True
experiment_3,Joint MD,5.0,155.0,reg_m1,reg_m2,1.0709200013881683,"[0.19412567228044686, 0.10265819473629673, 0.1758672532168972, 0.5273488797663592]",0.6038945563734567,True
experiment_3,Joint MD,5.0,267.5,reg_m1,reg_m2,1.000616651609023,"[0.22614950863986102, 0.14786153246191241, 0.20234930200579732, 0.4236396568924292]",0.6410034030717119,True
experiment_3,Joint MD,80.0,80.0,reg_m1,reg_m2,1.235602749429235,"[0.1680173009814052, 0.04642519201480508, 0.14756772246936287, 0.6379897845344268]",0.4495737196127238,True
experiment_3,Joint MD,5.0,305.0,reg_m1,reg_m2,0.9843638645249698,"[0.2342759021818876, 0.14119665224617514, 0.2362008993038219, 0.3883265462681153]",0.6205052147109817,True
experiment_3,Joint MD,42.5,192.5,reg_m1,reg_m2,1.2055815528810878,"[0.17375445871326692, 0.055698632557017055, 0.14602058497611506, 0.6245263237536011]",0.5621426788589694,True
experiment_3,Joint MD,80.0,117.5,reg_m1,reg_m2,1.223920205543311,"[0.16819696581530938, 0.05208679912386292, 0.1452545911293727, 0.634461643931455]",0.5588111179302754,True
experiment_3,Joint MD,42.5,267.5,reg_m1,reg_m2,1.1877321049460638,"[0.17297635908236406, 0.06540145615543178, 0.14819528975137397, 0.6134268950108301]",0.5734229169653577,True
experiment_3,Joint MD,80.0,42.5,reg_m1,reg_m2,1.2408960948493764,"[0.16768439230409643, 0.04411142798204319, 0.14532136918953906, 0.6428828105243214]",0.4212588339548381,True
experiment_3,Joint MD,42.5,230.0,reg_m1,reg_m2,1.1924138722548143,"[0.176484406874492, 0.05955252470892856, 0.14573917946676487, 0.6182238889498145]",0.5660527225125527,True
experiment_3,Joint MD,42.5,305.0,reg_m1,reg_m2,1.1916134752911898,"[0.16655213823312706, 0.06988499183210586, 0.1504691122821007, 0.6130937576526665]",0.5801021623029619,True
experiment_3,Joint MD,80.0,155.0,reg_m1,reg_m2,1.2294545437526585,"[0.16980527227190703, 0.04771132356259146, 0.1452422533500552, 0.6372411508154463]",0.5536832718407684,True
experiment_3,Joint MD,80.0,5.0,reg_m1,reg_m2,1.2395362482620593,"[0.16802009595011067, 0.04445564762968746, 0.14466646008418535, 0.6428577963360166]",0.4212064730489002,True
experiment_3,Joint MD,80.0,192.5,reg_m1,reg_m2,1.2271131808189049,"[0.17011948401296645, 0.048567793288408934, 0.14496226981408358, 0.636350452884541]",0.5547638726495939,True
experiment_3,Joint MD,117.5,117.5,reg_m1,reg_m2,1.239729617293777,"[0.16706847666073588, 0.04531058240320334, 0.1464139736284303, 0.6412069673076304]",0.4470616367742502,True
experiment_3,Joint MD,80.0,230.0,reg_m1,reg_m2,1.227392732367557,"[0.1702848054239253, 0.04826269610312394, 0.14499173957212572, 0.636460758900825]",0.5544404824924295,True
experiment_3,Joint MD,80.0,267.5,reg_m1,reg_m2,1.2143551506785941,"[0.17241308204320643, 0.0526532103283242, 0.14545156672962922, 0.62948214089884]",0.5589647877227575,True
experiment_3,Joint MD,117.5,155.0,reg_m1,reg_m2,1.2234641000845112,"[0.17017271988188695, 0.05033909778668522, 0.14510614384466244, 0.6343820384867654]",0.5565902318259286,True
experiment_3,Joint MD,80.0,305.0,reg_m1,reg_m2,1.2200538527751525,"[0.17041698598466518, 0.05179995533858629, 0.14600208711146972, 0.6317809715652788]",0.5584120222941041,True
experiment_3,Joint MD,117.5,42.5,reg_m1,reg_m2,1.240960109995367,"[0.16763020304069934, 0.044133609672444854, 0.1451374453900495, 0.6430987418968063]",0.42124803728397414,True
