experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success,features_used,target_mass_pct
experiment_4,Joint MD,2.0,2.0,reg_m1,reg_m2,0.4654620545768896,"[0.23953577200727455, 0.16240150600164124, 0.09891716359702021, 0.12071453110561918, 0.37843102728844474]",0.0014817854890346615,True,2027,90.0
experiment_4,Joint MD,12.0,2.0,reg_m1,reg_m2,0.471551276240912,"[0.22295049642942386, 0.1591508817884561, 0.08103731518491983, 0.15538566847674423, 0.381475638120456]",0.00100507190522664,True,2027,90.0
experiment_4,Joint MD,12.0,32.0,reg_m1,reg_m2,0.43957877589462674,"[0.23810836974985705, 0.16544930102761501, 0.07485077333476596, 0.1561021679404486, 0.36548938794731334]",0.0001476242368455323,True,2027,90.0
experiment_4,Joint MD,2.0,32.0,reg_m1,reg_m2,0.3789583205587074,"[0.2406797481997857, 0.1867786359125497, 0.0925028384870876, 0.14485961712122328, 0.33517916027935357]",0.0001355616561247665,True,2027,90.0
experiment_4,Joint MD,12.0,62.0,reg_m1,reg_m2,0.4751215976952467,"[0.22921131669593744, 0.15850383697568407, 0.07312864286389618, 0.15589540461685894, 0.3832607988476233]",0.0001302451522988401,True,2027,90.0
experiment_4,Joint MD,2.0,62.0,reg_m1,reg_m2,0.3391653941365434,"[0.22920423290025632, 0.20610175389342184, 0.10268369167980856, 0.14672762445824158, 0.31528269706827167]",0.00014017565441308598,True,2027,90.0
experiment_4,Joint MD,2.0,92.0,reg_m1,reg_m2,0.3088416198627878,"[0.2260683260758135, 0.2029825556647565, 0.11310427553318976, 0.15772403279484634, 0.3001208099313939]",0.0001421559979627973,True,2027,90.0
experiment_4,Joint MD,2.0,122.0,reg_m1,reg_m2,0.2784929916355361,"[0.22261042388037927, 0.19861080959740043, 0.12676328767187428, 0.16853227070445229, 0.28348320814589373]",0.00014496666635430852,True,2027,90.0
experiment_4,Joint MD,2.0,212.0,reg_m1,reg_m2,0.259690896075228,"[0.17235455196238605, 0.23959471568363658, 0.12830619965378612, 0.22744242083557806, 0.23230211186461325]",0.00015297538534208188,True,2027,90.0
experiment_4,Joint MD,2.0,152.0,reg_m1,reg_m2,0.23134948702300367,"[0.20938709881663023, 0.20113815767186796, 0.13449958709985904, 0.21080388311152778, 0.244171273300115]",0.00014761389484967645,True,2027,90.0
experiment_4,Joint MD,2.0,182.0,reg_m1,reg_m2,0.24587044793111362,"[0.1853867131752327, 0.21787806285921046, 0.14007977979764438, 0.21766578905162146, 0.23898965511629092]",0.00015240443083292722,True,2027,90.0
experiment_4,Joint MD,2.0,272.0,reg_m1,reg_m2,0.2651394046340221,"[0.16963029768298896, 0.24114337609218933, 0.1459773820920593, 0.22228487087382762, 0.22096407325893475]",0.0001574987418806508,True,2027,90.0
experiment_4,Joint MD,2.0,242.0,reg_m1,reg_m2,0.27029247576569493,"[0.1670537621171525, 0.23961627092767762, 0.14627517712513943, 0.2204507216773473, 0.22660406815268308]",0.00015752956840749593,True,2027,90.0
experiment_4,Joint MD,2.0,302.0,reg_m1,reg_m2,0.26061764986631947,"[0.1718911750668403, 0.2356630731414285, 0.14310469135288761, 0.2189116812943265, 0.2304293791445171]",0.0001562656049365705,True,2027,90.0
experiment_4,Joint MD,12.0,92.0,reg_m1,reg_m2,0.4072250398412416,"[0.2299106580747446, 0.1878214045204568, 0.07752274094412183, 0.15543267654005605, 0.3493125199206208]",0.00013301951474275735,True,2027,90.0
experiment_4,Joint MD,22.0,32.0,reg_m1,reg_m2,0.4449873352920806,"[0.23052020450232366, 0.16165091567565412, 0.08268729246225422, 0.1569479197137277, 0.3681936676460403]",0.00037984748922852986,True,2027,90.0
experiment_4,Joint MD,12.0,122.0,reg_m1,reg_m2,0.42621466027629107,"[0.23212623450947714, 0.16260430058659145, 0.09103844661852374, 0.15542368814726207, 0.3588073301381454]",0.00013321234891929917,True,2027,90.0
experiment_4,Joint MD,22.0,2.0,reg_m1,reg_m2,0.4814907294568824,"[0.22608493181272643, 0.15799861703519433, 0.07154492071403169, 0.15792616570960633, 0.38644536472844115]",0.0009673439204944105,True,2027,90.0
experiment_4,Joint MD,12.0,152.0,reg_m1,reg_m2,0.37263678536565903,"[0.22673502945751883, 0.17930766322216574, 0.09587930621371221, 0.16605960842377368, 0.33201839268282946]",0.00013602974940211731,True,2027,90.0
experiment_4,Joint MD,22.0,62.0,reg_m1,reg_m2,0.44800399289750326,"[0.24095364693375992, 0.16173350359047053, 0.07046606956416702, 0.15714478346285088, 0.36970199644875157]",0.00012982242467471518,True,2027,90.0
experiment_4,Joint MD,12.0,182.0,reg_m1,reg_m2,0.37579218310271567,"[0.21568772389112528, 0.1751957770482119, 0.10771111431436228, 0.1678092931949427, 0.3335960915513578]",0.000139142312016757,True,2027,90.0
experiment_4,Joint MD,12.0,212.0,reg_m1,reg_m2,0.28510136776465295,"[0.20986966140868676, 0.2010276780980531, 0.12005883796058262, 0.18079313865035104, 0.28825068388232644]",0.00014497450705743388,True,2027,90.0
experiment_4,Joint MD,22.0,92.0,reg_m1,reg_m2,0.42619469115809294,"[0.22959940247232788, 0.17964962929640813, 0.07436408632749195, 0.15758953632472564, 0.3587973455790465]",0.00013185392712086532,True,2027,90.0
experiment_4,Joint MD,12.0,242.0,reg_m1,reg_m2,0.3126064489890884,"[0.21029355246209583, 0.19531781237617712, 0.10834614884782502, 0.18403926181935784, 0.3020032244945442]",0.0001416339239387867,True,2027,90.0
experiment_4,Joint MD,32.0,32.0,reg_m1,reg_m2,0.4663225114709794,"[0.2255210729475397, 0.15851756067119296, 0.08138392923843425, 0.15571618140734345, 0.37886125573548973]",0.0010312572616059644,True,2027,90.0
experiment_4,Joint MD,12.0,272.0,reg_m1,reg_m2,0.26718363737094253,"[0.19931466207305162, 0.20546624115989268, 0.12587635844879516, 0.1906272780815844, 0.27871546023667604]",0.0001475345702402381,True,2027,90.0
experiment_4,Joint MD,22.0,122.0,reg_m1,reg_m2,0.4438002659050529,"[0.23356265891169778, 0.16092313190271998, 0.08028523078770089, 0.15762884544535502, 0.3676001329525265]",0.00013092627434514278,True,2027,90.0
experiment_4,Joint MD,12.0,302.0,reg_m1,reg_m2,0.25941603348468645,"[0.21118978402777816, 0.2055622340251192, 0.12676900077417022, 0.18253996520475949, 0.273939015968173]",0.0001468669196370372,True,2027,90.0
experiment_4,Joint MD,22.0,152.0,reg_m1,reg_m2,0.43718057758929063,"[0.23091365820545734, 0.16227847056213665, 0.08727581403820456, 0.15524176839955614, 0.3642902887946453]",0.0001326943998260171,True,2027,90.0
experiment_4,Joint MD,22.0,182.0,reg_m1,reg_m2,0.39309700742722276,"[0.2299815615395381, 0.17109667684819616, 0.0930322632872111, 0.16364099461144335, 0.34224850371361143]",0.00013463248850814958,True,2027,90.0
experiment_4,Joint MD,32.0,2.0,reg_m1,reg_m2,0.483823698249767,"[0.22565419982931584, 0.15788714764195083, 0.07060283513565431, 0.1582439682681955, 0.38761184912488345]",0.0009741852389293702,True,2027,90.0
experiment_4,Joint MD,32.0,62.0,reg_m1,reg_m2,0.4682519375173557,"[0.23316328177385917, 0.161454474010012, 0.06843674998651511, 0.15711952547093586, 0.37982596875867786]",0.00014410892313320562,True,2027,90.0
experiment_4,Joint MD,22.0,212.0,reg_m1,reg_m2,0.39016256504707725,"[0.2167376473081556, 0.17570907298390054, 0.10081501483824756, 0.1659569823461577, 0.34078128252353856]",0.0001377153461732402,True,2027,90.0
experiment_4,Joint MD,32.0,92.0,reg_m1,reg_m2,0.46398482540229324,"[0.22906947191509494, 0.16600162736904497, 0.06942343995360112, 0.15781304806111235, 0.37769241270114656]",0.00013068629476833908,True,2027,90.0
experiment_4,Joint MD,32.0,122.0,reg_m1,reg_m2,0.46066877093944614,"[0.22616420333089726, 0.167642396609029, 0.07141396001366421, 0.15874505457668647, 0.376034385469723]",0.00013057686343089057,True,2027,90.0
experiment_4,Joint MD,22.0,242.0,reg_m1,reg_m2,0.33654785104295437,"[0.20644350536456524, 0.19340295469126442, 0.10664223482956389, 0.17953737959312926, 0.3139739255214772]",0.00014159818036047416,True,2027,90.0
experiment_4,Joint MD,22.0,272.0,reg_m1,reg_m2,0.3274545335631911,"[0.21008032346874417, 0.19788483316297173, 0.11145768713044124, 0.17114988945624737, 0.3094272667815956]",0.0001428311385632977,True,2027,90.0
experiment_4,Joint MD,22.0,302.0,reg_m1,reg_m2,0.33410392211344264,"[0.2088543627046108, 0.2002350979126574, 0.10160108514094013, 0.1765574931850703, 0.31275196105672126]",0.00014084964942623945,True,2027,90.0
experiment_4,Joint MD,32.0,152.0,reg_m1,reg_m2,0.47434025066724894,"[0.22266997939220481, 0.15825385744763598, 0.08052268801849059, 0.1556833498080441, 0.3828701253336244]",0.00013169660082827024,True,2027,90.0
experiment_4,Joint MD,42.0,32.0,reg_m1,reg_m2,0.4758090060471475,"[0.22621559998177, 0.1575524502600585, 0.07482870447646456, 0.15779874225813326, 0.38360450302357374]",0.0010310311236417606,True,2027,90.0
experiment_4,Joint MD,42.0,2.0,reg_m1,reg_m2,0.4856164631783945,"[0.2247450216600129, 0.15780885552485677, 0.07117104388198302, 0.15776684734395008, 0.38850823158919723]",0.0009924243884317995,True,2027,90.0
experiment_4,Joint MD,32.0,182.0,reg_m1,reg_m2,0.45296391026621097,"[0.22541520111667096, 0.16349442758249327, 0.08112161986152913, 0.1577867963062012, 0.3721819551331055]",0.00013183924522356275,True,2027,90.0
experiment_4,Joint MD,42.0,62.0,reg_m1,reg_m2,0.4688510200810357,"[0.23051975798289032, 0.15954786132736523, 0.07235519770005326, 0.15745167294917342, 0.38012551004051787]",0.0002016170644773873,True,2027,90.0
experiment_4,Joint MD,32.0,212.0,reg_m1,reg_m2,0.4162139413974414,"[0.22349360486181027, 0.1762057241116271, 0.08849803717757179, 0.15799566315027017, 0.3538069706987207]",0.00013487758962921285,True,2027,90.0
experiment_4,Joint MD,42.0,92.0,reg_m1,reg_m2,0.4848119617791224,"[0.22625648505032428, 0.16060217529126497, 0.06722307366684997, 0.15781228510199957, 0.38810598088956116]",0.00013037897254766667,True,2027,90.0
experiment_4,Joint MD,32.0,242.0,reg_m1,reg_m2,0.41322340261116886,"[0.2186848298377114, 0.1760819637409579, 0.09178631465853816, 0.16113519045720817, 0.3523117013055844]",0.00013577264193954345,True,2027,90.0
experiment_4,Joint MD,42.0,122.0,reg_m1,reg_m2,0.47541135867854883,"[0.22817916755104406, 0.16152134647737004, 0.06737038054494947, 0.159523426087362, 0.3834056793392744]",0.00012947420420793537,True,2027,90.0
experiment_4,Joint MD,32.0,302.0,reg_m1,reg_m2,0.356241778278412,"[0.21763448566812826, 0.19370632609929644, 0.09972144591683829, 0.165116853176531, 0.323820889139206]",0.000139258353011899,True,2027,90.0
experiment_4,Joint MD,32.0,272.0,reg_m1,reg_m2,0.3627981291416232,"[0.2157213174587282, 0.19185319004932422, 0.09799658155959158, 0.16732984636154447, 0.3270990645708116]",0.00013885241442503822,True,2027,90.0
experiment_4,Joint MD,42.0,152.0,reg_m1,reg_m2,0.49646745904286277,"[0.22365844794459008, 0.15368566693608018, 0.07214704211179405, 0.1565751134861043, 0.39393372952143135]",0.00012955242086817658,True,2027,90.0
experiment_4,Joint MD,52.0,32.0,reg_m1,reg_m2,0.47984235808064757,"[0.22509367553399068, 0.15749440573580517, 0.07382980824099329, 0.15796093144888704, 0.3856211790403237]",0.0010438869707661326,True,2027,90.0
experiment_4,Joint MD,52.0,62.0,reg_m1,reg_m2,0.4670145148696143,"[0.22998242536136387, 0.15736857329278867, 0.07688836668843106, 0.1565533772226093, 0.3792072574348072]",0.00047960850406992146,True,2027,90.0
experiment_4,Joint MD,42.0,182.0,reg_m1,reg_m2,0.47271628947492217,"[0.2309993852380898, 0.1560850985933122, 0.07226647079391355, 0.15859090063722348, 0.38205814473746114]",0.000129150447074531,True,2027,90.0
experiment_4,Joint MD,42.0,212.0,reg_m1,reg_m2,0.4382996569035833,"[0.21771392741241297, 0.1646656190046659, 0.09185358309129618, 0.16091704203983329, 0.3648498284517916]",0.00013514357716032466,True,2027,90.0
