experiment,method,param1,param2,param1_name,param2_name,l1_error,proportions,cost,success
experiment_6,Joint MD,5.0,5.0,reg_m1,reg_m2,0.20644220446016143,"[0.4897211022300807, 0.5102788977699193]",0.18805058154574833,True
experiment_6,Joint MD,80.0,80.0,reg_m1,reg_m2,0.20677820180669282,"[0.4898891009033464, 0.5101108990966536]",0.18197842939164066,True
experiment_6,Joint MD,155.0,155.0,reg_m1,reg_m2,0.20824199629638174,"[0.4906209981481909, 0.5093790018518092]",0.18710269097233026,True
experiment_6,Joint MD,155.0,80.0,reg_m1,reg_m2,0.21680629488602965,"[0.49490314744301483, 0.5050968525569852]",0.20968535506786115,True
experiment_6,Joint MD,80.0,155.0,reg_m1,reg_m2,0.2090943878971417,"[0.4910471939485709, 0.5089528060514292]",0.09700277072741605,True
experiment_6,Joint MD,155.0,230.0,reg_m1,reg_m2,0.20821305631798714,"[0.4906065281589936, 0.5093934718410065]",0.09731994431680605,True
experiment_6,Joint MD,80.0,230.0,reg_m1,reg_m2,0.2130769174136412,"[0.49303845870682056, 0.5069615412931794]",0.09710404858931392,True
experiment_6,Joint MD,80.0,305.0,reg_m1,reg_m2,0.20112676964419335,"[0.48706338482209666, 0.5129366151779033]",0.09666746038266036,True
experiment_6,Joint MD,5.0,80.0,reg_m1,reg_m2,0.19009631002379496,"[0.4815481550118975, 0.5184518449881026]",0.09625626459198873,True
experiment_6,Joint MD,80.0,5.0,reg_m1,reg_m2,0.21125448448464168,"[0.4921272422423208, 0.5078727577576791]",0.20979515767598703,True
experiment_6,Joint MD,5.0,230.0,reg_m1,reg_m2,0.24223150112809544,"[0.5076157505640477, 0.4923842494359523]",0.09812048083821394,True
experiment_6,Joint MD,230.0,230.0,reg_m1,reg_m2,0.20610223245062964,"[0.48955111622531483, 0.5104488837746852]",0.19019106178023595,True
experiment_6,Joint MD,155.0,305.0,reg_m1,reg_m2,0.21374491842225907,"[0.49337245921112954, 0.5066275407888705]",0.09714968329842567,True
experiment_6,Joint MD,155.0,5.0,reg_m1,reg_m2,0.2126451128597563,"[0.4928225564298781, 0.5071774435701218]",0.2099992941538928,True
experiment_6,Joint MD,5.0,155.0,reg_m1,reg_m2,0.2186027141084398,"[0.49580135705421985, 0.5041986429457801]",0.09728035963175276,True
experiment_6,Joint MD,230.0,155.0,reg_m1,reg_m2,0.21225558311076437,"[0.49262779155538217, 0.5073722084446178]",0.20930703741632728,True
experiment_6,Joint MD,5.0,305.0,reg_m1,reg_m2,0.20837567616708513,"[0.49068783808354255, 0.5093121619164575]",0.09691377416660028,True
experiment_6,Joint MD,230.0,80.0,reg_m1,reg_m2,0.21466001258592188,"[0.4938300062929609, 0.5061699937070391]",0.20984716247830199,True
experiment_6,Joint MD,230.0,305.0,reg_m1,reg_m2,0.21351821466609056,"[0.4932591073330453, 0.5067408926669548]",0.09834448055395881,True
experiment_6,Joint MD,305.0,305.0,reg_m1,reg_m2,0.20616063316132566,"[0.4895803165806628, 0.5104196834193372]",0.1918051409622767,True
experiment_6,Joint MD,305.0,230.0,reg_m1,reg_m2,0.20956014288043384,"[0.4912800714402169, 0.5087199285597831]",0.20929602612495807,True
experiment_6,Joint MD,305.0,155.0,reg_m1,reg_m2,0.21636200108180936,"[0.49468100054090464, 0.5053189994590953]",0.21002821150693815,True
experiment_6,Joint MD,305.0,80.0,reg_m1,reg_m2,0.21387534904456978,"[0.49343767452228493, 0.5065623254777152]",0.2101903643885315,True
experiment_6,Joint MD,230.0,5.0,reg_m1,reg_m2,0.21379257650966993,"[0.49339628825483495, 0.506603711745165]",0.2101118689151722,True
experiment_6,Joint MD,305.0,5.0,reg_m1,reg_m2,0.21593911697931295,"[0.49446955848965646, 0.5055304415103435]",0.2101861137152744,True
experiment_6,Simple WS,0.05,,learning_rate,,0.018621741994399643,"[0.3771891290028002, 0.6228108709971999]",1.8192603115119956,True
