experiment,n_components,features_target,features_used,mix_mass_preserved_pct,avg_component_mass_preserved_pct,min_component_mass_preserved_pct,max_component_mass_preserved_pct,mix_original_features,mix_reduced_features,feature_reduction_ratio
experiment_1,2,2500,2483,92.21639049563215,87.52870867741417,81.17294052417093,93.88447683065742,131072,2483,0.01894378662109375
experiment_2,2,2500,2293,77.5889636151644,76.28569234922962,71.15120258173732,81.42018211672192,55903,2293,0.041017476700713734
experiment_6,2,2500,2483,89.0007954772584,87.72820043491039,81.35114186032804,94.10525900949274,70340,2483,0.03529997156667614
experiment_7,2,2500,2233,90.96845171810722,93.45769274617975,93.03090866170207,93.88447683065742,131072,2233,0.01703643798828125
experiment_8,2,2500,2338,83.62566593646459,83.39669886116354,78.54445528537758,88.2489424369495,139577,2338,0.016750610773981385
experiment_3,4,2500,2109,90.09931130309313,68.8239952286317,57.62145366324158,75.34506721729825,12449,2109,0.16941119768656118
experiment_5,5,2500,2351,92.71838132021716,87.79640502821967,81.32856843740625,93.85153178250634,54259,2351,0.04332921727271052
experiment_4,5,2500,2297,93.64144298947303,94.73629063059822,93.91658356249388,95.626861217896,27129,2297,0.08466954181871798
experiment_9,5,2500,2297,95.95167728201666,94.73629063059822,93.91658356249388,95.626861217896,27129,2297,0.08466954181871798
experiment_10,3,2500,1370,68.70084375606345,64.20930399179366,59.196050430593274,73.07722833345446,8884,1370,0.15420981539846915
experiment_11,3,2500,1370,67.55603595759943,64.20898242495791,59.19567757069856,73.07710256197694,8885,1370,0.15419245920090038
