experiment,n_components,ground_truth,target_mass_pct,mix_features_for_target,mix_actual_mass_pct,joint_proportions,joint_cost,joint_time,joint_features,joint_l1_error,joint_l2_error,joint_max_error,simple_proportions,simple_cost,simple_ws_uniform,simple_time,simple_iterations,simple_converged,simple_features,simple_l1_error,simple_l2_error,simple_max_error,gt_Lactate,joint_Lactate,simple_Lactate,comp_0_features_for_target,comp_0_actual_mass_pct,gt_Alanine,joint_Alanine,simple_Alanine,comp_1_features_for_target,comp_1_actual_mass_pct,gt_Creatine,joint_Creatine,simple_Creatine,comp_2_features_for_target,comp_2_actual_mass_pct,gt_Creatinine,joint_Creatinine,simple_Creatinine,comp_3_features_for_target,comp_3_actual_mass_pct,gt_Choline chloride,joint_Choline chloride,simple_Choline chloride,comp_4_features_for_target,comp_4_actual_mass_pct,gt_Benzyl benzoate,joint_Benzyl benzoate,simple_Benzyl benzoate,gt_m Anisaldehyde,joint_m Anisaldehyde,simple_m Anisaldehyde,gt_Pinene,joint_Pinene,simple_Pinene,gt_Isopropyl myristate,joint_Isopropyl myristate,simple_Isopropyl myristate,gt_Alpha pinene,joint_Alpha pinene,simple_Alpha pinene,gt_Limonene,joint_Limonene,simple_Limonene,gt_Leucine,joint_Leucine,simple_Leucine,gt_Isoleucine,joint_Isoleucine,simple_Isoleucine,gt_Valine,joint_Valine,simple_Valine
experiment_9,5,"[0.3022, 0.224, 0.1253, 0.2028, 0.1457]",90.0,1586,90.00471996226185,"[0.2394843840458616, 0.13932239334512397, 0.043627538411114004, 0.17998568165028012, 0.39758000254762044]",0.0002671013351330056,121.68323874473572,1826,0.5037600050952408,0.28589852280213796,0.25188000254762044,"[0.23171153006559983, 0.1538095963276584, 0.14153943903744048, 0.14898112181089154, 0.32395831275840964]",0.016946986270642627,0.06122012284548217,32.71921157836914,1070,True,1826,0.38899550359170043,0.2117345844651717,0.17825831275840964,0.3022,0.2394843840458616,0.23171153006559983,314,90.0332825025821,0.224,0.13932239334512397,0.1538095963276584,339,90.03955337668252,0.1253,0.043627538411114004,0.14153943903744048,147.0,90.0354818388671,0.2028,0.17998568165028012,0.14898112181089154,156.0,90.09595892986198,0.1457,0.39758000254762044,0.32395831275840964,382.0,90.03933080667721,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_4,5,"[0.3022, 0.224, 0.1253, 0.2028, 0.1457]",90.0,1904,90.00467251293716,"[0.2311497247806768, 0.15824972464676765, 0.06602881586352638, 0.15839287101284755, 0.38617886369618154]",0.00013579719869756784,142.02389287948608,2027,0.4809577273923632,0.26960413679355044,0.24047886369618154,"[0.2331702034210196, 0.1512669983942077, 0.14029243753155252, 0.15118494291574677, 0.3240854177374733]",0.018296112626565254,0.0631249110978393,30.794856309890747,1060,True,2027,0.3867557105380518,0.2115784651155327,0.1783854177374733,0.3022,0.2311497247806768,0.2331702034210196,314,90.0332825025821,0.224,0.15824972464676765,0.1512669983942077,339,90.03955337668252,0.1253,0.06602881586352638,0.14029243753155252,147.0,90.0354818388671,0.2028,0.15839287101284755,0.15118494291574677,156.0,90.09595892986198,0.1457,0.38617886369618154,0.3240854177374733,382.0,90.03933080667721,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_7,2,"[0.8403875207510383, 0.1596124792489616]",90.0,1950,90.0017054229945,"[0.9370164283580878, 0.06298357164191216]",0.0012331625480540857,190.50399088859558,2596,0.19325781521409902,0.13665391165518614,0.09662890760704956,"[0.8997347143648214, 0.10026528563517852]",0.023860810607889464,0.5306172177585677,13.564342021942139,555,True,2596,0.11869438722756624,0.08392960609739403,0.059347193613783156,,,,1002,90.01374288119942,,,,774,90.0009397147933,,,,,,,,,,,,,,,,0.8403875207510383,0.9370164283580878,0.8997347143648214,0.1596124792489616,0.06298357164191216,0.10026528563517852,,,,,,,,,,,,,,,,,,,,,
experiment_5,5,"[0.3022, 0.224, 0.1253, 0.2028, 0.1457]",90.0,2013,90.00081625552602,"[0.23618378943692372, 0.1112661588073047, 0.0662045460181143, 0.2904805802564558, 0.2958649254812015]",0.00014953486689333305,231.3201048374176,3139,0.4756910114753146,0.22538127847577988,0.15016492548120153,"[0.22872597910570325, 0.1505611644387242, 0.13106070281359025, 0.15786333971276775, 0.33178881392921455]",0.011812578308760072,0.06472495333236569,24.453754425048828,1020,True,3139,0.38369903348560963,0.21788352420325435,0.18608881392921456,0.3022,0.23618378943692372,0.22872597910570325,628,90.01436313539902,0.224,0.1112661588073047,0.1505611644387242,675,90.0030971408695,0.1253,0.0662045460181143,0.13106070281359025,293.0,90.01276725458372,0.2028,0.2904805802564558,0.15786333971276775,309.0,90.03512610634007,0.1457,0.2958649254812015,0.33178881392921455,763.0,90.01797889266976,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_6,2,"[0.3865, 0.6135]",90.0,2644,90.00054887787083,"[0.10745212657558323, 0.8925478734244168]",0.00040535738046529064,239.14841437339783,4773,0.5580957468488335,0.3946332871481809,0.2790478734244168,"[0.44222536777875854, 0.5577746322212416]",0.01746594445304983,0.32167909513756304,19.434693574905396,1183,True,4773,0.111450735557517,0.07880757088094895,0.05572536777875853,,,,2289,90.00059482136827,,,,992,90.0156896004863,,,,,,,,,,,,,,,,0.6135,0.8925478734244168,0.5577746322212416,,,,0.3865,0.10745212657558323,0.44222536777875854,,,,,,,,,,,,,,,,,,
experiment_8,2,"[0.3702, 0.6298]",90.0,3063,90.0059580943006,"[0.6610961297750049, 0.33890387022499513]",0.002749967585706562,261.3068776130676,5444,0.5817922595500098,0.41138925196965587,0.2908961297750049,"[0.33685160500959715, 0.6631483949904028]",0.1670210262607603,0.2919247933907001,1.192620038986206,620,True,5444,0.06669678998080558,0.04716175247880261,0.03334839499040282,,,,1956,90.0018366344667,,,,1448,90.00075114218298,,,,,,,,,,,,,,,,0.3702,0.6610961297750049,0.33685160500959715,0.6298,0.33890387022499513,0.6631483949904028,,,,,,,,,,,,,,,,,,,,,
experiment_1,2,"[0.09088457406472417, 0.9091154259352758]",90.0,1930,90.00305213761206,"[0.014367473282086674, 0.9856325267179133]",0.0008571831096672431,263.1379191875458,4582,0.153034201565275,0.10821152168027492,0.07651710078263751,"[0.07915436670758577, 0.9208456332924142]",0.02857928120981466,2.267484524928979,1.8755378723144531,1085,True,4582,0.02346041471427676,0.01658901833391376,0.011730207357138395,,,,2341,90.00092164217406,,,,1002,90.01374288119942,,,,,,,,,,,,,,,,0.9091154259352758,0.9856325267179133,0.9208456332924142,,,,0.09088457406472417,0.014367473282086674,0.07915436670758577,,,,,,,,,,,,,,,,,,
experiment_3,4,"[0.7264578344443725, 0.10578603326645526, 0.081968804608116, 0.08578732768105625]",90.0,2095,90.00280144584418,"[0.9286191662308112, 0.03776167762706445, 0.0035110073326538715, 0.03010814880947056]",0.0004994944875355279,269.81823205947876,3711,0.4043226635728773,0.23399212367717084,0.2021613317864387,"[0.7807329894071618, 0.03809288238295602, 0.1500959035175469, 0.03107822469233524]",0.07489904013559492,1.5011029308708463,1.4014561176300049,956,True,3711,0.24480450774444049,0.1231362768578653,0.0681270989094309,,,,1476,90.00163791298056,,,,1269,90.01127191886754,,,,1922.0,90.0070190579328,,,,1543.0,90.00652585015952,,,,,,0.10578603326645526,0.03776167762706445,0.03809288238295602,,,,,,,0.7264578344443725,0.9286191662308112,0.7807329894071618,0.081968804608116,0.0035110073326538715,0.1500959035175469,0.08578732768105625,0.03010814880947056,0.03107822469233524,,,,,,,,,
experiment_2,2,"[0.505, 0.495]",90.0,4267,90.00026008068403,"[0.4406104530893395, 0.5593895469106606]",0.0002671254207624699,292.9880213737488,4968,0.12877909382132108,0.09106057051611476,0.06438954691066057,"[0.5239028565484665, 0.47609714345153353]",0.018457803151649882,0.024047098480535628,0.6814823150634766,413,True,4968,0.037805713096932925,0.026732676098434344,0.018902856548466462,,,,2270,90.00180168964755,,,,2647,90.0010796810504,,,,,,,,,,,,,,,,,,,,,,0.505,0.4406104530893395,0.5239028565484665,,,,,,,0.495,0.5593895469106606,0.47609714345153353,,,,,,,,,
experiment_10,3,"[0.2538, 0.4949, 0.2513]",90.0,3660,90.00523178084234,"[0.24634551450172118, 0.4249425770416181, 0.32871190845666065]",4.716157299778223e-05,313.92527866363525,4695,0.1548238169133214,0.10460503788978998,0.07741190845666063,"[0.320287564742453, 0.33400950372743415, 0.34570293153011294]",0.012187548657529988,0.013675594949209382,0.18602895736694336,106,True,4695,0.32178099254513176,0.19803601070940002,0.16089049627256585,,,,2861,90.00579885081483,,,,3046,90.0017993130198,,,,2464.0,90.00596929705029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2538,0.24634551450172118,0.320287564742453,0.4949,0.4249425770416181,0.33400950372743415,0.2513,0.32871190845666065,0.34570293153011294
