required_features,actual_mass_pct,total_features,target_mass_pct,efficiency,spectrum_type,experiment,component_name,component_index
357,50.07087675477207,131072,50,0.00272369384765625,mixture,experiment_1,,
506,60.01068183206609,131072,60,0.0038604736328125,mixture,experiment_1,,
717,70.01919292280651,131072,70,0.00547027587890625,mixture,experiment_1,,
1049,80.01768104390827,131072,80,0.00800323486328125,mixture,experiment_1,,
1332,85.01180643025954,131072,85,0.010162353515625,mixture,experiment_1,,
1930,90.00305213761206,131072,90,0.0147247314453125,mixture,experiment_1,,
3780,95.00029859564279,131072,95,0.028839111328125,mixture,experiment_1,,
14659,99.00005580767389,131072,99,0.11183929443359375,mixture,experiment_1,,
237,50.02999822646147,131072,50,0.00180816650390625,component,experiment_1,Pinene,0.0
441,60.01640525820253,131072,60,0.00336456298828125,component,experiment_1,Pinene,0.0
738,70.01636931210558,131072,70,0.0056304931640625,component,experiment_1,Pinene,0.0
1182,80.00556552518563,131072,80,0.0090179443359375,component,experiment_1,Pinene,0.0
1546,85.00808878572222,131072,85,0.0117950439453125,component,experiment_1,Pinene,0.0
2341,90.00092164217406,131072,90,0.01786041259765625,component,experiment_1,Pinene,0.0
5358,95.00063580612405,131072,95,0.0408782958984375,component,experiment_1,Pinene,0.0
16367,99.00000935230668,131072,99,0.12487030029296875,component,experiment_1,Pinene,0.0
247,50.021403259888054,131072,50,0.00188446044921875,component,experiment_1,Benzyl benzoate,1.0
345,60.01601066324724,131072,60,0.00263214111328125,component,experiment_1,Benzyl benzoate,1.0
477,70.06264307961966,131072,70,0.00363922119140625,component,experiment_1,Benzyl benzoate,1.0
668,80.00188177012029,131072,80,0.005096435546875,component,experiment_1,Benzyl benzoate,1.0
807,85.03030580926277,131072,85,0.00615692138671875,component,experiment_1,Benzyl benzoate,1.0
1002,90.01374288119942,131072,90,0.0076446533203125,component,experiment_1,Benzyl benzoate,1.0
1365,95.00206402460938,131072,95,0.01041412353515625,component,experiment_1,Benzyl benzoate,1.0
4929,99.00015639564886,131072,99,0.03760528564453125,component,experiment_1,Benzyl benzoate,1.0
543,50.02032536392226,55903,50,0.009713253313775648,mixture,experiment_2,,
965,60.00525608184031,55903,60,0.017262043181940145,mixture,experiment_2,,
1610,70.01037049780092,55903,70,0.028799885515983042,mixture,experiment_2,,
2562,80.00205558562115,55903,80,0.04582938303847736,mixture,experiment_2,,
3251,85.00254239832647,55903,85,0.05815430298910613,mixture,experiment_2,,
4267,90.00026008068403,55903,90,0.07632864068117991,mixture,experiment_2,,
6587,95.00083655989636,55903,95,0.11782909682843497,mixture,experiment_2,,
13997,99.00018909406434,55903,99,0.25038012271255566,mixture,experiment_2,,
235,50.05359755419174,55903,50,0.004203709997674544,component,experiment_2,Pinene,0.0
436,60.002019534387955,55903,60,0.007799223655260004,component,experiment_2,Pinene,0.0
731,70.02668954016484,55903,70,0.013076221311915283,component,experiment_2,Pinene,0.0
1169,80.01330826966027,55903,80,0.020911221222474644,component,experiment_2,Pinene,0.0
1522,85.0100261064311,55903,85,0.0272257302828113,component,experiment_2,Pinene,0.0
2270,90.00180168964755,55903,90,0.04060604976477112,component,experiment_2,Pinene,0.0
5016,95.0000849593703,55903,95,0.0897268482907894,component,experiment_2,Pinene,0.0
14592,99.00017256180833,55903,99,0.26102355866411464,component,experiment_2,Pinene,0.0
407,50.020748259431635,55903,50,0.007280467953419315,component,experiment_2,Limonene,1.0
748,60.003366866898645,55903,60,0.013380319481959823,component,experiment_2,Limonene,1.0
1190,70.00850450188408,55903,70,0.021286871903117902,component,experiment_2,Limonene,1.0
1788,80.00693929510734,55903,80,0.03198397223762589,component,experiment_2,Limonene,1.0
2165,85.00864405559766,55903,85,0.038727796361554837,component,experiment_2,Limonene,1.0
2647,90.0010796810504,55903,90,0.04734987388870007,component,experiment_2,Limonene,1.0
3625,95.00253498452673,55903,95,0.06484446273008604,component,experiment_2,Limonene,1.0
